Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left,Upstream_End_UTMy,Upstream_End_UTMx,Downstream_End_UTMy,Downstream_End_UTMx
1,222,134,222,134,1,11.61,117.17,0.00,0.00,0.00,0.01716,0,0,0,3795279.12072,240133.61401,3795279.12072,240133.61401,
2,228,168,222,134,1,11.61,117.17,40.80,40.80,0.00,0.01716,21,22,23,3795273.12072,240167.61401,3795279.12072,240133.61401,
