43
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
1	1	1	40	1	1	1
2	2	41	159	2	2	1
3	3	160	427	3	3	1
4	4	428	476	4	4	1
5	5	477	534	5	5	1
6	6	535	566	6	6	1
7	7	567	669	7	7	1
8	8	670	741	8	8	1
9	9	742	800	9	9	1
10	10	801	806	10	10	1
11	11	807	837	11	11	1
12	12	838	1185	12	12	1
13	13	1186	1203	13	13	1
14	14	1204	1282	14	14	1
15	15	1283	1297	15	15	1
16	16	1298	1305	16	16	1
17	17	1306	1418	17	17	1
18	18	1419	1451	18	18	1
19	19	1452	1538	19	19	1
20	20	1539	1578	20	20	1
21	21	1579	1637	21	21	1
22	22	1638	1747	22	22	1
23	23	1748	2018	23	23	1
24	24	2019	2179	24	24	1
25	25	2180	2297	25	25	1
26	26	2298	2351	26	26	1
27	27	2352	2437	27	27	1
28	28	2438	2485	28	28	1
29	29	2486	2504	29	29	1
30	30	2505	2597	30	30	1
31	31	2598	2639	31	31	1
32	32	2640	2724	32	32	1
33	33	2725	2764	33	33	1
34	34	2765	2774	34	34	1
35	35	2775	2844	35	35	1
36	36	2845	2889	36	36	1
37	37	2890	2908	37	37	1
38	38	2909	2916	38	38	1
39	39	2917	3033	39	39	1
40	40	3034	3188	40	40	1
41	41	3189	3250	41	41	1
42	42	3251	3303	42	42	1
43	43	3304	3338	43	43	1
