CCHE1D_Channel,Reach_ID,Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left,Upstream_Reach_ID_1,Upstream_Reach_ID_2,y_US,x_US,y_DS,x_DS
26,207,0,2072,2073,209,208,3796086.6207244,236437.11401283,3795926.6207244,236386.11401283
25,224,0,2242,2243,226,225,3795927.6207244,236396.11401283,3795925.6207244,236386.11401283
27,190,0,1902,1903,268,191,3795426.6207244,236041.11401283,3795378.6207244,235999.11401283
23,300,0,3002,3003,432,301,3795001.6207244,237260.11401283,3794980.6207244,237186.11401283
21,392,0,3922,3923,394,393,3795290.6207244,239039.11401283,3795522.6207244,239046.11401283
22,353,0,3532,3533,361,354,3795501.6207244,239113.11401283,3795522.6207244,239047.11401283
28,181,0,1812,1813,187,182,3795310.6207244,235821.11401283,3795204.6207244,235693.11401283
24,269,0,2692,2693,275,270,3795354.6207244,236085.11401283,3795377.6207244,235999.11401283
29,168,0,1682,1683,176,169,3795333.6207244,235649.11401283,3795204.6207244,235692.11401283
30,140,0,1402,1403,144,141,3794712.6207244,235410.11401283,3794572.6207244,235230.11401283
19,436,0,4362,4363,468,437,3794802.6207244,237540.11401283,3794753.6207244,237429.11401283
20,433,0,4332,4333,483,434,3794918.6207244,237249.11401283,3794979.6207244,237186.11401283
18,469,0,4692,4693,471,470,3794672.6207244,237488.11401283,3794752.6207244,237428.11401283
31,137,0,1372,1373,139,138,3794400.6207244,235050.11401283,3794321.6207244,235005.11401283
17,521,0,5212,5213,523,522,3794560.6207244,235264.11401283,3794571.6207244,235230.11401283
15,537,0,5372,5373,543,538,3794364.6207244,236144.11401283,3794268.6207244,236076.11401283
33,98,0,982,983,106,99,3794361.6207244,234436.11401283,3794079.6207244,234417.11401283
10,664,0,6642,6643,668,665,3794308.6207244,235037.11401283,3794321.6207244,235006.11401283
32,115,0,1152,1153,119,116,3794067.6207244,234483.11401283,3794078.6207244,234417.11401283
12,566,0,5662,5663,646,567,3794164.6207244,236286.11401283,3794194.6207244,236131.11401283
14,546,0,5462,5463,548,547,3794256.6207244,236277.11401283,3794266.6207244,236077.11401283
16,536,0,5362,5363,546,537,3794267.6207244,236076.11401283,3794265.6207244,236025.11401283
13,565,0,5652,5653,647,566,3794194.6207244,236130.11401283,3794264.6207244,236025.11401283
11,647,0,6472,6473,651,648,3793995.6207244,236127.11401283,3794193.6207244,236131.11401283
35,81,0,812,813,87,82,3794085.6207244,233852.11401283,3794025.6207244,233770.11401283
34,97,0,972,973,115,98,3794078.6207244,234416.11401283,3794077.6207244,234349.11401283
9,678,0,6782,6783,742,679,3793863.6207244,234626.11401283,3794076.6207244,234349.11401283
36,76,0,762,763,80,77,3793972.6207244,233526.11401283,3793923.6207244,233396.11401283
4,744,0,7442,7443,748,745,3793951.6207244,234167.11401283,3794024.6207244,233770.11401283
37,75,0,752,753,755,76,3793922.6207244,233395.11401283,3793879.6207244,233254.11401283
3,755,0,7552,7553,759,756,3793915.6207244,233426.11401283,3793922.6207244,233396.11401283
38,62,0,622,623,68,63,3793918.6207244,233220.11401283,3793880.6207244,233254.11401283
39,47,0,472,473,829,48,3793236.6207244,232747.11401283,3793189.6207244,232688.11401283
8,680,0,6802,6803,682,681,3793650.6207244,234907.11401283,3793806.6207244,234741.11401283
5,735,0,7352,7353,739,736,3793492.6207244,234691.11401283,3793805.6207244,234741.11401283
6,728,0,7282,7283,732,729,3793190.6207244,234959.11401283,3793391.6207244,235037.11401283
7,691,0,6912,6913,693,692,3793270.6207244,235171.11401283,3793391.6207244,235038.11401283
2,830,0,8302,8303,854,831,3793098.6207244,233087.11401283,3793189.6207244,232689.11401283
40,33,0,332,333,873,34,3792323.6207244,232118.11401283,3792245.6207244,232051.11401283
41,6,0,62,63,12,7,3792456.6207244,232057.11401283,3792245.6207244,232050.11401283
42,4,0,42,43,894,5,3791939.6207244,231858.11401283,3791854.6207244,231822.11401283
1,895,0,8952,8953,907,896,3792004.6207244,232055.11401283,3791853.6207244,231822.11401283
43,2,0,22,23,910,3,3791822.6207244,231760.11401283,3791752.6207244,231577.11401283
