811
CH_ID	CH_NDUSID	CH_NDDSID
400	49629	49831
401	49832	49863
402	49864	49901
403	49902	50000
404	50001	50287
405	50288	50678
406	50679	50711
407	50712	50902
408	50903	50952
409	50953	50976
410	50977	51256
411	51257	51281
412	51282	51746
413	51747	51767
414	51768	51856
415	51857	52070
416	52071	52149
417	52150	52187
418	52188	52619
419	52620	52644
420	52645	52713
421	52714	52752
422	52753	52819
423	52820	52921
424	52922	53046
425	53047	53086
426	53087	53350
427	53351	53382
428	53383	53450
429	53451	53487
430	53488	53551
431	53552	53661
432	53662	53702
433	53703	53750
434	53751	53764
435	53765	53867
436	53868	54010
437	54011	54157
438	54158	54250
439	54251	54318
440	54319	54423
441	54424	54483
442	54484	54500
443	54501	54724
444	54725	54810
445	54811	54900
446	54901	55031
447	55032	55085
448	55086	55123
449	55124	55177
450	55178	55319
451	55320	55426
452	55427	55437
453	55438	55524
454	55525	55576
455	55577	55608
456	55609	55780
457	55781	55876
458	55877	56110
459	56111	56212
460	56213	56291
461	56292	56404
462	56405	56442
463	56443	56595
464	56596	56601
465	56602	56898
466	56899	57150
467	57151	57202
468	57203	57217
469	57218	57372
470	57373	57462
471	57463	57564
472	57565	57600
473	57601	57715
474	57716	57846
475	57847	57916
476	57917	57992
477	57993	58123
478	58124	58147
479	58148	58283
480	58284	58339
481	58340	58389
482	58390	58449
483	58450	58585
484	58586	58681
485	58682	58781
486	58782	58889
487	58890	59047
488	59048	59077
489	59078	59193
490	59194	59333
491	59334	59505
492	59506	59665
493	59666	59746
494	59747	59809
495	59810	59868
496	59869	60219
497	60220	60302
498	60303	60434
499	60435	60452
500	60453	60478
501	60479	60504
502	60505	60776
503	60777	60917
504	60918	61138
505	61139	61422
506	61423	61448
507	61449	61460
508	61461	61656
509	61657	61846
510	61847	62017
511	62018	62075
512	62076	62265
513	62266	62328
514	62329	62358
515	62359	62435
516	62436	62514
517	62515	62837
518	62838	62954
519	62955	63056
520	63057	63137
521	63138	63392
522	63393	63432
523	63433	63476
524	63477	63572
525	63573	63646
526	63647	63719
527	63720	63779
528	63780	63833
529	63834	63936
530	63937	64062
531	64063	64089
532	64090	64146
533	64147	64232
534	64233	64268
535	64269	64305
536	64306	64464
537	64465	64633
538	64634	64664
539	64665	64847
540	64848	64898
541	64899	65153
542	65154	65212
543	65213	65314
544	65315	65392
545	65393	65493
546	65494	65579
547	65580	65674
548	65675	65732
549	65733	66244
550	66245	66297
551	66298	66429
552	66430	66502
553	66503	66535
554	66536	66765
555	66766	66817
556	66818	66851
557	66852	67055
558	67056	67193
559	67194	67284
560	67285	67354
561	67355	67446
562	67447	67590
563	67591	67784
564	67785	68050
565	68051	68055
566	68056	68076
567	68077	68142
568	68143	68284
569	68285	68348
570	68349	68595
571	68596	68840
572	68841	68902
573	68903	69187
574	69188	69277
575	69278	69489
576	69490	69704
577	69705	69827
578	69828	70047
579	70048	70131
580	70132	70187
581	70188	70622
582	70623	70779
583	70780	70993
584	70994	71096
585	71097	71130
586	71131	71196
587	71197	71413
588	71414	71518
589	71519	71530
590	71531	71570
591	71571	71644
592	71645	71738
593	71739	71917
594	71918	71989
595	71990	72175
596	72176	72246
597	72247	72376
598	72377	72491
599	72492	72728
600	72729	72816
601	72817	72898
602	72899	72921
603	72922	73008
604	73009	73150
605	73151	73217
606	73218	73353
607	73354	73372
608	73373	73416
609	73417	73456
610	73457	73559
611	73560	73616
612	73617	73677
613	73678	73924
614	73925	74341
615	74342	74597
616	74598	74936
617	74937	74942
618	74943	75053
619	75054	75384
620	75385	75529
621	75530	75816
622	75817	75936
623	75937	75978
624	75979	76031
625	76032	76138
626	76139	76156
627	76157	76218
628	76219	76408
629	76409	76450
630	76451	76834
631	76835	76856
632	76857	76990
633	76991	77015
634	77016	77175
635	77176	77368
636	77369	77601
637	77602	77850
638	77851	77894
639	77895	78017
640	78018	78144
641	78145	78222
642	78223	78263
643	78264	78384
644	78385	78528
645	78529	78635
646	78636	78721
647	78722	78787
648	78788	78860
649	78861	78989
650	78990	79009
651	79010	79058
652	79059	79074
653	79075	79097
654	79098	79156
655	79157	79271
656	79272	79374
657	79375	79420
658	79421	79423
659	79424	79433
660	79434	79943
661	79944	80137
662	80138	80208
663	80209	80325
664	80326	80369
665	80370	80506
666	80507	80537
667	80538	80847
668	80848	80916
669	80917	80958
670	80959	80982
671	80983	81038
672	81039	81210
673	81211	81357
674	81358	81554
675	81555	81708
676	81709	81781
677	81782	81954
678	81955	81990
679	81991	82087
680	82088	82116
681	82117	82181
682	82182	82263
683	82264	82335
684	82336	82374
685	82375	82446
686	82447	82580
687	82581	82818
688	82819	82851
689	82852	82884
690	82885	82988
691	82989	83156
692	83157	83165
693	83166	83423
694	83424	83438
695	83439	83718
696	83719	83886
697	83887	83925
698	83926	83984
699	83985	84134
700	84135	84174
701	84175	84233
702	84234	84243
703	84244	84294
704	84295	84611
705	84612	84814
706	84815	85040
707	85041	85059
708	85060	85090
709	85091	85307
710	85308	85381
711	85382	85537
712	85538	85608
713	85609	85762
714	85763	85902
715	85903	86170
716	86171	86230
717	86231	86376
718	86377	86385
719	86386	86585
720	86586	86671
721	86672	86706
722	86707	86750
723	86751	86944
724	86945	86985
725	86986	87087
726	87088	87338
727	87339	87955
728	87956	87993
729	87994	88282
730	88283	88327
731	88328	88368
732	88369	88439
733	88440	88659
734	88660	88795
735	88796	89116
736	89117	89159
737	89160	89271
738	89272	89394
739	89395	89435
740	89436	89686
741	89687	89806
742	89807	89828
743	89829	89863
744	89864	89988
745	89989	90112
746	90113	90220
747	90221	90398
748	90399	90444
749	90445	90492
750	90493	90512
751	90513	90549
752	90550	90557
753	90558	90663
754	90664	90668
755	90669	90916
756	90917	90935
757	90936	90957
758	90958	91149
759	91150	91155
760	91156	91354
761	91355	91402
762	91403	91667
763	91668	91825
764	91826	91920
765	91921	91954
766	91955	92007
767	92008	92076
768	92077	92139
769	92140	92264
770	92265	92327
771	92328	92393
772	92394	92471
773	92472	92525
774	92526	92715
775	92716	92734
776	92735	93047
777	93048	93257
778	93258	93479
779	93480	93937
780	93938	94007
781	94008	94055
782	94056	94603
783	94604	94784
784	94785	94936
785	94937	95021
786	95022	95138
787	95139	95324
788	95325	95359
789	95360	95560
790	95561	95597
791	95598	95639
792	95640	95670
793	95671	95752
794	95753	95959
795	95960	95976
796	95977	95985
797	95986	96029
798	96030	96261
799	96262	96378
800	96379	96485
801	96486	96562
802	96563	96922
803	96923	96988
804	96989	97197
805	97198	97252
806	97253	97290
807	97291	97487
808	97488	97748
809	97749	97824
810	97825	97876
811	97877	98057
