811
CH_ID	CH_NDUSID	CH_NDDSID
1	1	27
2	28	43
3	44	77
4	78	90
5	91	117
6	118	187
7	188	195
8	196	209
9	210	271
10	272	292
11	293	329
12	330	352
13	353	405
14	406	422
15	423	450
16	451	456
17	457	458
18	459	529
19	530	556
20	557	666
21	667	709
22	710	784
23	785	851
24	852	894
25	895	946
26	947	970
27	971	996
28	997	1002
29	1003	1039
30	1040	1081
31	1082	1108
32	1109	1115
33	1116	1129
34	1130	1155
35	1156	1185
36	1186	1274
37	1275	1395
38	1396	1467
39	1468	1477
40	1478	1498
41	1499	1592
42	1593	1605
43	1606	1645
44	1646	1687
45	1688	1699
46	1700	1715
47	1716	1733
48	1734	1748
49	1749	1786
50	1787	1791
51	1792	1805
52	1806	1833
53	1834	1892
54	1893	1925
55	1926	1964
56	1965	2017
57	2018	2094
58	2095	2114
59	2115	2165
60	2166	2191
61	2192	2213
62	2214	2251
63	2252	2285
64	2286	2312
65	2313	2327
66	2328	2361
67	2362	2406
68	2407	2425
69	2426	2453
70	2454	2536
71	2537	2570
72	2571	2597
73	2598	2634
74	2635	2692
75	2693	2725
76	2726	2761
77	2762	2853
78	2854	2886
79	2887	2892
80	2893	2926
81	2927	2938
82	2939	2971
83	2972	3076
84	3077	3097
85	3098	3127
86	3128	3209
87	3210	3253
88	3254	3316
89	3317	3401
90	3402	3450
91	3451	3490
92	3491	3516
93	3517	3533
94	3534	3543
95	3544	3554
96	3555	3648
97	3649	3680
98	3681	3727
99	3728	3730
100	3731	3761
101	3762	3775
102	3776	3811
103	3812	3835
104	3836	3844
105	3845	3913
106	3914	3954
107	3955	3992
108	3993	4058
109	4059	4093
110	4094	4150
111	4151	4196
112	4197	4230
113	4231	4265
114	4266	4306
115	4307	4348
116	4349	4375
117	4376	4397
118	4398	4404
119	4405	4429
120	4430	4443
121	4444	4461
122	4462	4504
123	4505	4526
124	4527	4559
125	4560	4594
126	4595	4608
127	4609	4660
128	4661	4679
129	4680	4779
130	4780	4844
131	4845	4896
132	4897	4953
133	4954	4960
134	4961	4979
135	4980	5008
136	5009	5034
137	5035	5063
138	5064	5115
139	5116	5137
140	5138	5164
141	5165	5168
142	5169	5215
143	5216	5223
144	5224	5266
145	5267	5309
146	5310	5363
147	5364	5379
148	5380	5395
149	5396	5444
