30
RC_ID	RC_NDUSID	RC_NDDSID	RC_ORDER	RC_LENGTH
1	1	2	1	0.0
1	3	4	1	1.0
2	4	5	1	1.0
3	5	6	1	1.4142135623730951
4	6	7	1	1.4142135623730951
5	7	8	1	1.0
6	8	9	1	1.0
7	9	10	1	1.0
8	10	11	1	2.0
9	11	12	1	2.8284271247461903
10	12	13	1	1.4142135623730951
11	13	14	1	2.23606797749979
12	14	15	1	1.4142135623730951
13	15	16	1	2.23606797749979
14	16	17	1	1.0
15	17	18	1	1.0
16	18	19	1	1.0
17	19	20	1	1.4142135623730951
18	20	21	1	1.0
19	21	22	1	1.4142135623730951
20	22	23	1	1.0
21	23	24	1	1.0
22	24	25	1	1.0
23	25	26	1	2.23606797749979
24	26	27	1	1.0
25	27	28	1	1.0
26	28	29	1	1.0
27	29	30	1	1.0
28	30	31	1	1.4142135623730951
29	31	32	1	1.0
