32
ND_ID	ND_FRMNO	ND_TYPE	ND_XC	ND_YC	ND_DSID	ND_USID	ND_US2ID	ND_CSID	ND_RSID	ND_STID
1	1	0	240133.114013	3795278.620724	2.0	-1	-1	1	-1	1
2	2	3	240133.114013	3795278.620724		1	-1	2	-1	1
3	3	0	240167.114013	3795272.620724	4.0	-1	-1	3	-1	1
4	4	6	240166.114013	3795272.620724	5.0	3	-1	4	-1	1
5	5	6	240165.114013	3795272.620724	6.0	4	-1	5	-1	1
6	6	6	240164.114013	3795273.620724	7.0	5	-1	6	-1	1
7	7	6	240163.114013	3795274.620724	8.0	6	-1	7	-1	1
8	8	6	240162.114013	3795274.620724	9.0	7	-1	8	-1	1
9	9	6	240161.114013	3795274.620724	10.0	8	-1	9	-1	1
10	10	6	240160.114013	3795274.620724	11.0	9	-1	10	-1	1
11	11	6	240158.114013	3795274.620724	12.0	10	-1	11	-1	1
12	12	6	240156.114013	3795276.620724	13.0	11	-1	12	-1	1
13	13	6	240155.114013	3795277.620724	14.0	12	-1	13	-1	1
14	14	6	240153.114013	3795278.620724	15.0	13	-1	14	-1	1
15	15	6	240152.114013	3795277.620724	16.0	14	-1	15	-1	1
16	16	6	240150.114013	3795276.620724	17.0	15	-1	16	-1	1
17	17	6	240149.114013	3795276.620724	18.0	16	-1	17	-1	1
18	18	6	240148.114013	3795276.620724	19.0	17	-1	18	-1	1
19	19	6	240147.114013	3795276.620724	20.0	18	-1	19	-1	1
20	20	6	240146.114013	3795277.620724	21.0	19	-1	20	-1	1
21	21	6	240145.114013	3795277.620724	22.0	20	-1	21	-1	1
22	22	6	240144.114013	3795278.620724	23.0	21	-1	22	-1	1
23	23	6	240143.114013	3795278.620724	24.0	22	-1	23	-1	1
24	24	6	240142.114013	3795278.620724	25.0	23	-1	24	-1	1
25	25	6	240141.114013	3795278.620724	26.0	24	-1	25	-1	1
26	26	6	240139.114013	3795277.620724	27.0	25	-1	26	-1	1
27	27	6	240138.114013	3795277.620724	28.0	26	-1	27	-1	1
28	28	6	240137.114013	3795277.620724	29.0	27	-1	28	-1	1
29	29	6	240136.114013	3795277.620724	30.0	28	-1	29	-1	1
30	30	6	240135.114013	3795277.620724	31.0	29	-1	30	-1	1
31	31	6	240134.114013	3795278.620724	32.0	30	-1	31	-1	1
32	32	9	240133.114013	3795278.620724	32.0	31	-1	32	-1	1
