13
CH_ID	CH_NDUSID	CH_NDDSID
1	1	11
2	12	27
3	28	38
4	39	46
5	47	69
6	70	83
7	84	93
8	94	105
9	106	115
10	116	122
11	123	125
12	126	144
13	145	160
