Cell_ID,Reach_ID,Reach_Location_Code (0=up; 1=dn),Row,Col,UTMy,UTMx
22,2,1,222,134,3795279.12072,240133.61401,
23,2,1,222,134,3795279.12072,240133.61401,
31,3,0,180,229,3795321.12072,240228.61401,
32,3,1,227,169,3795274.12072,240168.61401,
33,3,1,227,169,3795274.12072,240168.61401,
41,4,0,286,455,3795215.12072,240454.61401,
42,4,1,228,169,3795273.12072,240168.61401,
43,4,1,228,169,3795273.12072,240168.61401,
