Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left
63,1288,1347,1283,1347,61,79.11,93.10,19.24,6025.58,6006.33,0.00001,0,632,633,
64,1401,1510,1289,1347,63,36.91,93.63,736.69,6762.27,6025.58,0.00462,641,642,643,
65,1421,1375,1289,1346,63,41.62,93.40,482.04,6507.62,6025.58,0.00477,651,652,653,
66,1223,1174,1118,1190,60,21.30,86.04,510.07,5526.17,5016.09,0.01412,661,662,663,
67,1067,974,1045,867,17,31.73,79.01,356.31,4176.37,3820.06,0.00983,671,672,673,
68,1597,1164,1078,742,14,123.70,86.24,2982.77,6379.37,3396.60,0.00778,681,682,683,
69,1143,674,1112,654,11,18.45,77.13,125.61,3214.71,3089.10,0.02070,691,692,693,
70,1496,800,1309,528,10,70.10,83.84,1205.23,3421.79,2216.56,0.01394,0,702,703,
71,1492,859,1496,801,70,19.89,89.26,219.55,3641.34,3421.79,0.00820,711,712,713,
72,1531,786,1497,800,70,18.20,89.15,128.40,3550.18,3421.79,0.01480,721,722,723,
73,1427,572,1411,449,7,30.08,77.45,474.07,2218.01,1743.94,0.02257,731,732,733,
74,1625,630,1611,321,4,65.63,77.25,1547.65,2346.02,798.36,0.01041,741,742,743,
