Reach_ID,Receiving_Reach,Vegetation_Code,Elevation,Slope,Mannings_n,Infiltration_Rate,Hydraulic_Geom_ID,Length,Top_Width,Flow_Depth,Valley_Width,Valley_Mannings_n,Start_Diversion,Stop_Diversion,Travel_Time,Clay_Scour_Code,Silt_Scour_Code,Sand_Scour_Code,Small_Agg_Scour_Code,Large_Agg_Scour_Code,Valley_Clay_Scour_Code,Valley_Silt_Scour_Code,Valley_Sand_Scour_Code,Valley_Small_Agg_Scour_Code,Valley_Large_Agg_Scour_Code,Delivery_Ratio,Input_Units_Code
72,71,,78.99,0.00970,,,,185.55,,,,,,,,,,,,,,,,,,,1
73,71,,81.05,0.02328,,,,369.48,,,,,,,,,,,,,,,,,,,1
74,70,,78.34,0.00487,,,,61.60,,,,,,,,,,,,,,,,,,,1
75,61,,75.01,0.00183,,,,163.12,,,,,,,,,,,,,,,,,,,1
76,75,,75.46,0.00317,,,,157.61,,,,,,,,,,,,,,,,,,,1
77,76,,76.73,0.02626,,,,60.94,,,,,,,,,,,,,,,,,,,1
78,77,,82.62,0.02907,,,,423.19,,,,,,,,,,,,,,,,,,,1
79,77,,78.82,0.00803,,,,211.94,,,,,,,,,,,,,,,,,,,1
80,76,,75.80,0.00112,,,,267.85,,,,,,,,,,,,,,,,,,,1
81,80,,76.06,0.00088,,,,113.78,,,,,,,,,,,,,,,,,,,1
82,81,,77.36,0.06044,,,,46.31,,,,,,,,,,,,,,,,,,,1
83,82,,79.28,0.01169,,,,68.43,,,,,,,,,,,,,,,,,,,1
84,83,,84.17,0.02485,,,,422.52,,,,,,,,,,,,,,,,,,,1
85,83,,80.64,0.02980,,,,53.70,,,,,,,,,,,,,,,,,,,1
86,82,,84.19,0.01777,,,,838.42,,,,,,,,,,,,,,,,,,,1
87,81,,76.50,0.00217,,,,322.87,,,,,,,,,,,,,,,,,,,1
88,87,,79.97,0.02978,,,,137.64,,,,,,,,,,,,,,,,,,,1
89,88,,81.04,0.00729,,,,54.87,,,,,,,,,,,,,,,,,,,1
90,88,,84.56,0.03105,,,,286.63,,,,,,,,,,,,,,,,,,,1
91,87,,76.80,0.00002,,,,51.56,,,,,,,,,,,,,,,,,,,1
92,91,,78.35,0.07656,,,,44.38,,,,,,,,,,,,,,,,,,,1
93,92,,80.76,0.00940,,,,138.34,,,,,,,,,,,,,,,,,,,1
94,92,,80.66,0.00274,,,,256.00,,,,,,,,,,,,,,,,,,,1
95,91,,76.80,0.00002,,,,11.07,,,,,,,,,,,,,,,,,,,1
96,95,,77.37,0.00394,,,,177.57,,,,,,,,,,,,,,,,,,,1
97,96,,77.50,0.00002,,,,77.53,,,,,,,,,,,,,,,,,,,1
98,97,,80.31,0.01302,,,,368.36,,,,,,,,,,,,,,,,,,,1
99,98,,83.38,0.01145,,,,235.88,,,,,,,,,,,,,,,,,,,1
100,99,,89.08,0.04196,,,,197.78,,,,,,,,,,,,,,,,,,,1
101,99,,85.78,0.01117,,,,98.50,,,,,,,,,,,,,,,,,,,1
102,101,,87.82,0.01829,,,,229.69,,,,,,,,,,,,,,,,,,,1
103,102,,93.22,0.05797,,,,89.70,,,,,,,,,,,,,,,,,,,1
104,102,,94.09,0.02774,,,,284.79,,,,,,,,,,,,,,,,,,,1
105,101,,87.46,0.07623,,,,36.73,,,,,,,,,,,,,,,,,,,1
106,98,,82.30,0.00002,,,,26.56,,,,,,,,,,,,,,,,,,,1
107,106,,84.34,0.01210,,,,297.45,,,,,,,,,,,,,,,,,,,1
108,107,,90.57,0.03070,,,,286.66,,,,,,,,,,,,,,,,,,,1
109,107,,90.96,0.02080,,,,456.83,,,,,,,,,,,,,,,,,,,1
110,109,,96.08,0.02107,,,,71.18,,,,,,,,,,,,,,,,,,,1
111,109,,95.45,0.01439,,,,13.90,,,,,,,,,,,,,,,,,,,1
112,111,,97.86,0.08264,,,,66.56,,,,,,,,,,,,,,,,,,,1
113,111,,96.66,0.04084,,,,53.87,,,,,,,,,,,,,,,,,,,1
114,106,,84.93,0.01652,,,,199.68,,,,,,,,,,,,,,,,,,,1
115,97,,77.50,0.00002,,,,78.77,,,,,,,,,,,,,,,,,,,1
116,115,,80.19,0.05708,,,,66.50,,,,,,,,,,,,,,,,,,,1
117,116,,82.17,0.00851,,,,270.19,,,,,,,,,,,,,,,,,,,1
118,116,,81.78,0.00249,,,,401.72,,,,,,,,,,,,,,,,,,,1
119,115,,77.54,0.00422,,,,22.56,,,,,,,,,,,,,,,,,,,1
120,119,,78.18,0.00218,,,,368.33,,,,,,,,,,,,,,,,,,,1
121,120,,78.40,0.00002,,,,13.31,,,,,,,,,,,,,,,,,,,1
122,121,,81.82,0.01943,,,,205.88,,,,,,,,,,,,,,,,,,,1
123,122,,82.75,0.00873,,,,137.40,,,,,,,,,,,,,,,,,,,1
124,123,,83.86,0.00982,,,,50.94,,,,,,,,,,,,,,,,,,,1
125,124,,84.48,0.01869,,,,42.80,,,,,,,,,,,,,,,,,,,1
126,124,,86.38,0.01554,,,,379.66,,,,,,,,,,,,,,,,,,,1
127,126,,90.99,0.01679,,,,172.71,,,,,,,,,,,,,,,,,,,1
128,126,,90.06,0.00468,,,,85.46,,,,,,,,,,,,,,,,,,,1
129,128,,90.94,0.02913,,,,58.36,,,,,,,,,,,,,,,,,,,1
