43
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
1	1	1	22	1	1	1
2	2	23	84	2	2	1
3	3	85	221	3	3	1
4	4	222	247	4	4	1
5	5	248	278	5	5	1
6	6	279	296	6	6	1
7	7	297	351	7	7	1
8	8	352	389	8	8	1
9	9	390	421	9	9	1
10	10	422	425	10	10	1
11	11	426	442	11	11	1
12	12	443	620	12	12	1
13	13	621	630	13	13	1
14	14	631	671	14	14	1
15	15	672	680	15	15	1
16	16	681	685	16	16	1
17	17	686	744	17	17	1
18	18	745	763	18	18	1
19	19	764	809	19	19	1
20	20	810	831	20	20	1
21	21	832	862	21	21	1
22	22	863	918	22	22	1
23	23	919	1055	23	23	1
24	24	1056	1138	24	24	1
25	25	1139	1199	25	25	1
26	26	1200	1228	26	26	1
27	27	1229	1273	27	27	1
28	28	1274	1298	28	28	1
29	29	1299	1309	29	29	1
30	30	1310	1357	30	30	1
31	31	1358	1379	31	31	1
32	32	1380	1423	32	32	1
33	33	1424	1445	33	33	1
34	34	1446	1451	34	34	1
35	35	1452	1487	35	35	1
36	36	1488	1511	36	36	1
37	37	1512	1522	37	37	1
38	38	1523	1527	38	38	1
39	39	1528	1588	39	39	1
40	40	1589	1668	40	40	1
41	41	1669	1701	41	41	1
42	42	1702	1729	42	42	1
43	43	1730	1748	43	43	1
