199
CH_ID	CH_NDUSID	CH_NDDSID
1	1	10
2	11	29
3	30	45
4	46	55
5	56	58
6	59	79
7	80	178
8	179	190
9	191	255
10	256	288
11	289	314
12	315	333
13	334	336
14	337	381
15	382	410
16	411	427
17	428	440
18	441	450
19	451	494
20	495	501
21	502	517
22	518	536
23	537	545
24	546	598
25	599	660
26	661	667
27	668	673
28	674	712
29	713	717
30	718	743
31	744	763
32	764	768
33	769	799
34	800	802
35	803	808
36	809	826
37	827	865
38	866	872
39	873	888
40	889	928
41	929	964
42	965	968
43	969	984
44	985	993
45	994	996
46	997	1028
47	1029	1060
48	1061	1088
49	1089	1093
50	1094	1101
51	1102	1105
52	1106	1150
53	1151	1192
54	1193	1225
55	1226	1242
56	1243	1275
57	1276	1287
58	1288	1308
59	1309	1356
60	1357	1383
61	1384	1405
62	1406	1419
63	1420	1422
64	1423	1435
65	1436	1459
66	1460	1516
67	1517	1543
68	1544	1562
69	1563	1568
70	1569	1571
71	1572	1615
72	1616	1628
73	1629	1638
74	1639	1667
75	1668	1683
76	1684	1724
77	1725	1743
78	1744	1766
79	1767	1775
80	1776	1780
81	1781	1808
82	1809	1811
83	1812	1816
84	1817	1847
85	1848	1858
86	1859	1875
87	1876	1900
88	1901	1923
89	1924	1927
90	1928	1963
91	1964	1966
92	1967	1981
93	1982	2000
94	2001	2035
95	2036	2073
96	2074	2077
97	2078	2101
98	2102	2126
99	2127	2148
100	2149	2158
101	2159	2176
102	2177	2206
103	2207	2230
104	2231	2253
105	2254	2266
106	2267	2290
107	2291	2301
108	2302	2313
109	2314	2322
110	2323	2327
111	2328	2340
112	2341	2354
113	2355	2366
114	2367	2372
115	2373	2381
116	2382	2410
117	2411	2434
118	2435	2441
119	2442	2447
120	2448	2471
121	2472	2491
122	2492	2512
123	2513	2520
124	2521	2546
125	2547	2554
126	2555	2571
127	2572	2629
128	2630	2647
129	2648	2671
130	2672	2691
131	2692	2698
132	2699	2709
133	2710	2733
134	2734	2750
135	2751	2756
136	2757	2783
137	2784	2794
138	2795	2819
139	2820	2836
140	2837	2850
141	2851	2854
142	2855	2862
143	2863	2874
144	2875	2910
145	2911	2939
146	2940	2950
147	2951	2963
148	2964	2971
149	2972	2979
150	2980	2994
151	2995	2997
152	2998	3041
153	3042	3047
154	3048	3059
155	3060	3074
156	3075	3096
157	3097	3115
158	3116	3164
159	3165	3167
160	3168	3190
161	3191	3196
162	3197	3202
163	3203	3245
164	3246	3280
165	3281	3302
166	3303	3308
167	3309	3320
168	3321	3326
169	3327	3331
170	3332	3340
171	3341	3359
172	3360	3367
173	3368	3375
174	3376	3391
175	3392	3396
176	3397	3406
177	3407	3417
178	3418	3432
179	3433	3439
180	3440	3444
181	3445	3454
182	3455	3458
183	3459	3465
184	3466	3487
185	3488	3518
186	3519	3525
187	3526	3556
188	3557	3573
189	3574	3591
190	3592	3629
191	3630	3638
192	3639	3667
193	3668	3670
194	3671	3691
195	3692	3700
196	3701	3715
197	3716	3743
198	3744	3749
199	3750	3765
