26704
CP_ID	CP_CSID	CP_POSIDX	CP_W	CP_Z	CP_RGH	CP_BLOCK
167	21	7	35	2	0.025	1
168	21	8	43	6	0.025	1
169	22	1	-43	6	0.025	1
170	22	2	-35	2	0.025	1
171	22	3	-13	2	0.025	1
172	22	4	-10	0	0.025	1
173	22	5	10	0	0.025	1
174	22	6	13	2	0.025	1
175	22	7	35	2	0.025	1
176	22	8	43	6	0.025	1
177	23	1	-43	6	0.025	1
178	23	2	-35	2	0.025	1
179	23	3	-13	2	0.025	1
180	23	4	-10	0	0.025	1
181	23	5	10	0	0.025	1
182	23	6	13	2	0.025	1
183	23	7	35	2	0.025	1
184	23	8	43	6	0.025	1
185	24	1	-43	6	0.025	1
186	24	2	-35	2	0.025	1
187	24	3	-13	2	0.025	1
188	24	4	-10	0	0.025	1
189	24	5	10	0	0.025	1
190	24	6	13	2	0.025	1
191	24	7	35	2	0.025	1
192	24	8	43	6	0.025	1
193	25	1	-43	6	0.025	1
194	25	2	-35	2	0.025	1
195	25	3	-13	2	0.025	1
196	25	4	-10	0	0.025	1
197	25	5	10	0	0.025	1
198	25	6	13	2	0.025	1
199	25	7	35	2	0.025	1
200	25	8	43	6	0.025	1
201	26	1	-43	6	0.025	1
202	26	2	-35	2	0.025	1
203	26	3	-13	2	0.025	1
204	26	4	-10	0	0.025	1
205	26	5	10	0	0.025	1
206	26	6	13	2	0.025	1
207	26	7	35	2	0.025	1
208	26	8	43	6	0.025	1
209	27	1	-43	6	0.025	1
210	27	2	-35	2	0.025	1
211	27	3	-13	2	0.025	1
212	27	4	-10	0	0.025	1
213	27	5	10	0	0.025	1
214	27	6	13	2	0.025	1
215	27	7	35	2	0.025	1
216	27	8	43	6	0.025	1
217	28	1	-43	6	0.025	1
218	28	2	-35	2	0.025	1
219	28	3	-13	2	0.025	1
220	28	4	-10	0	0.025	1
221	28	5	10	0	0.025	1
222	28	6	13	2	0.025	1
223	28	7	35	2	0.025	1
224	28	8	43	6	0.025	1
225	29	1	-43	6	0.025	1
226	29	2	-35	2	0.025	1
227	29	3	-13	2	0.025	1
228	29	4	-10	0	0.025	1
229	29	5	10	0	0.025	1
230	29	6	13	2	0.025	1
231	29	7	35	2	0.025	1
232	29	8	43	6	0.025	1
233	30	1	-43	6	0.025	1
234	30	2	-35	2	0.025	1
235	30	3	-13	2	0.025	1
236	30	4	-10	0	0.025	1
237	30	5	10	0	0.025	1
238	30	6	13	2	0.025	1
239	30	7	35	2	0.025	1
240	30	8	43	6	0.025	1
241	31	1	-43	6	0.025	1
242	31	2	-35	2	0.025	1
243	31	3	-13	2	0.025	1
244	31	4	-10	0	0.025	1
245	31	5	10	0	0.025	1
246	31	6	13	2	0.025	1
247	31	7	35	2	0.025	1
248	31	8	43	6	0.025	1
249	32	1	-43	6	0.025	1
250	32	2	-35	2	0.025	1
251	32	3	-13	2	0.025	1
252	32	4	-10	0	0.025	1
253	32	5	10	0	0.025	1
254	32	6	13	2	0.025	1
255	32	7	35	2	0.025	1
256	32	8	43	6	0.025	1
257	33	1	-43	6	0.025	1
258	33	2	-35	2	0.025	1
259	33	3	-13	2	0.025	1
260	33	4	-10	0	0.025	1
261	33	5	10	0	0.025	1
262	33	6	13	2	0.025	1
263	33	7	35	2	0.025	1
264	33	8	43	6	0.025	1
265	34	1	-43	6	0.025	1
266	34	2	-35	2	0.025	1
267	34	3	-13	2	0.025	1
268	34	4	-10	0	0.025	1
269	34	5	10	0	0.025	1
270	34	6	13	2	0.025	1
271	34	7	35	2	0.025	1
272	34	8	43	6	0.025	1
273	35	1	-43	6	0.025	1
274	35	2	-35	2	0.025	1
275	35	3	-13	2	0.025	1
276	35	4	-10	0	0.025	1
277	35	5	10	0	0.025	1
278	35	6	13	2	0.025	1
279	35	7	35	2	0.025	1
280	35	8	43	6	0.025	1
281	36	1	-43	6	0.025	1
282	36	2	-35	2	0.025	1
283	36	3	-13	2	0.025	1
284	36	4	-10	0	0.025	1
285	36	5	10	0	0.025	1
286	36	6	13	2	0.025	1
287	36	7	35	2	0.025	1
288	36	8	43	6	0.025	1
289	37	1	-43	6	0.025	1
290	37	2	-35	2	0.025	1
291	37	3	-13	2	0.025	1
292	37	4	-10	0	0.025	1
293	37	5	10	0	0.025	1
294	37	6	13	2	0.025	1
295	37	7	35	2	0.025	1
296	37	8	43	6	0.025	1
297	38	1	-43	6	0.025	1
298	38	2	-35	2	0.025	1
299	38	3	-13	2	0.025	1
300	38	4	-10	0	0.025	1
301	38	5	10	0	0.025	1
302	38	6	13	2	0.025	1
303	38	7	35	2	0.025	1
304	38	8	43	6	0.025	1
305	39	1	-43	6	0.025	1
306	39	2	-35	2	0.025	1
307	39	3	-13	2	0.025	1
308	39	4	-10	0	0.025	1
309	39	5	10	0	0.025	1
310	39	6	13	2	0.025	1
311	39	7	35	2	0.025	1
312	39	8	43	6	0.025	1
313	40	1	-43	6	0.025	1
314	40	2	-35	2	0.025	1
315	40	3	-13	2	0.025	1
316	40	4	-10	0	0.025	1
317	40	5	10	0	0.025	1
318	40	6	13	2	0.025	1
319	40	7	35	2	0.025	1
320	40	8	43	6	0.025	1
321	41	1	-43	6	0.025	1
322	41	2	-35	2	0.025	1
323	41	3	-13	2	0.025	1
324	41	4	-10	0	0.025	1
325	41	5	10	0	0.025	1
326	41	6	13	2	0.025	1
327	41	7	35	2	0.025	1
328	41	8	43	6	0.025	1
329	42	1	-43	6	0.025	1
330	42	2	-35	2	0.025	1
