811
CH_ID	CH_NDUSID	CH_NDDSID
1	1	43
2	44	68
3	69	123
4	124	143
5	144	185
6	186	301
7	302	313
8	314	334
9	335	433
10	434	467
11	468	527
12	528	564
13	565	650
14	651	676
15	677	720
16	721	728
17	729	730
18	731	845
19	846	889
20	890	1069
21	1070	1139
22	1140	1258
23	1259	1365
24	1366	1434
25	1435	1518
26	1519	1555
27	1556	1596
28	1597	1605
29	1606	1663
30	1664	1730
31	1731	1773
32	1774	1783
33	1784	1805
34	1806	1845
35	1846	1893
36	1894	2039
37	2040	2239
38	2240	2357
39	2358	2372
40	2373	2404
41	2405	2556
42	2557	2575
43	2576	2640
44	2641	2707
45	2708	2724
46	2725	2748
47	2749	2776
48	2777	2799
49	2800	2859
50	2860	2866
51	2867	2888
52	2889	2933
53	2934	3029
54	3030	3082
55	3083	3144
56	3145	3230
57	3231	3356
58	3357	3388
59	3389	3471
60	3472	3511
61	3512	3545
62	3546	3606
63	3607	3660
64	3661	3703
65	3704	3726
66	3727	3781
67	3782	3854
68	3855	3884
69	3885	3927
70	3928	4062
71	4063	4115
72	4116	4158
73	4159	4219
74	4220	4313
75	4314	4366
76	4367	4424
77	4425	4574
78	4575	4626
79	4627	4634
80	4635	4690
81	4691	4708
82	4709	4762
83	4763	4934
84	4935	4968
85	4969	5016
86	5017	5149
87	5150	5220
88	5221	5322
89	5323	5458
90	5459	5537
91	5538	5602
92	5603	5643
93	5644	5670
94	5671	5684
95	5685	5701
96	5702	5853
97	5854	5905
98	5906	5982
99	5983	5986
100	5987	6036
101	6037	6058
102	6059	6117
103	6118	6154
104	6155	6168
105	6169	6281
106	6282	6347
107	6348	6406
108	6407	6513
109	6514	6569
110	6570	6661
111	6662	6737
112	6738	6791
113	6792	6848
114	6849	6913
115	6914	6980
116	6981	7024
117	7025	7059
118	7060	7069
119	7070	7110
120	7111	7132
121	7133	7160
122	7161	7229
123	7230	7263
124	7264	7316
125	7317	7371
126	7372	7393
127	7394	7478
128	7479	7508
129	7509	7671
130	7672	7777
131	7778	7863
132	7864	7956
133	7957	7965
134	7966	7995
135	7996	8040
136	8041	8081
137	8082	8127
138	8128	8211
139	8212	8245
140	8246	8287
141	8288	8292
142	8293	8368
143	8369	8380
144	8381	8450
145	8451	8520
146	8521	8609
147	8610	8634
148	8635	8659
149	8660	8739
150	8740	8879
151	8880	9006
152	9007	9070
153	9071	9104
154	9105	9197
155	9198	9258
156	9259	9566
157	9567	9598
158	9599	9613
159	9614	9626
160	9627	9667
161	9668	9702
162	9703	9748
163	9749	9809
164	9810	9836
165	9837	9950
166	9951	10011
167	10012	10226
168	10227	10246
169	10247	10400
170	10401	10431
171	10432	10481
172	10482	10495
173	10496	10554
174	10555	10656
175	10657	10696
176	10697	10740
177	10741	10757
178	10758	10938
179	10939	11007
180	11008	11082
181	11083	11086
182	11087	11172
183	11173	11203
