811
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
198	198	24381	24644	198	198	1
199	199	24645	24676	199	199	1
200	200	24677	24771	200	200	1
201	201	24772	24803	201	201	1
202	202	24804	25109	202	202	1
203	203	25110	25130	203	203	1
204	204	25131	25336	204	204	1
205	205	25337	25490	205	205	1
206	206	25491	25679	206	206	1
207	207	25680	25699	207	207	1
208	208	25700	25769	208	208	1
209	209	25770	25844	209	209	1
210	210	25845	26121	210	210	1
211	211	26122	26511	211	211	1
212	212	26512	26679	212	212	1
213	213	26680	26718	213	213	1
214	214	26719	26756	214	214	1
215	215	26757	26987	215	215	1
216	216	26988	27087	216	216	1
217	217	27088	27295	217	217	1
218	218	27296	27413	218	218	1
219	219	27414	27436	219	219	1
220	220	27437	27462	220	220	1
221	221	27463	27495	221	221	1
222	222	27496	27606	222	222	1
223	223	27607	27675	223	223	1
224	224	27676	27748	224	224	1
225	225	27749	27786	225	225	1
226	226	27787	27802	226	226	1
227	227	27803	27861	227	227	1
228	228	27862	28078	228	228	1
229	229	28079	28110	229	229	1
230	230	28111	28392	230	230	1
231	231	28393	28494	231	231	1
232	232	28495	28574	232	232	1
233	233	28575	28831	233	233	1
234	234	28832	28932	234	234	1
235	235	28933	29195	235	235	1
236	236	29196	29450	236	236	1
237	237	29451	29548	237	237	1
238	238	29549	29700	238	238	1
239	239	29701	30043	239	239	1
240	240	30044	30112	240	240	1
241	241	30113	30195	241	241	1
242	242	30196	30458	242	242	1
243	243	30459	30495	243	243	1
244	244	30496	30629	244	244	1
245	245	30630	30632	245	245	1
246	246	30633	30699	246	246	1
247	247	30700	31224	247	247	1
248	248	31225	31298	248	248	1
249	249	31299	31325	249	249	1
250	250	31326	31424	250	250	1
251	251	31425	31466	251	251	1
252	252	31467	31528	252	252	1
253	253	31529	31835	253	253	1
254	254	31836	32130	254	254	1
255	255	32131	32172	255	255	1
256	256	32173	32392	256	256	1
257	257	32393	32613	257	257	1
258	258	32614	32671	258	258	1
259	259	32672	32827	259	259	1
260	260	32828	33022	260	260	1
261	261	33023	33167	261	261	1
262	262	33168	33662	262	262	1
263	263	33663	33695	263	263	1
264	264	33696	33834	264	264	1
265	265	33835	34186	265	265	1
266	266	34187	34374	266	266	1
267	267	34375	34736	267	267	1
268	268	34737	34781	268	268	1
269	269	34782	34804	269	269	1
270	270	34805	35217	270	270	1
271	271	35218	35437	271	271	1
272	272	35438	35455	272	272	1
273	273	35456	35557	273	273	1
274	274	35558	35641	274	274	1
275	275	35642	35753	275	275	1
276	276	35754	35816	276	276	1
277	277	35817	35944	277	277	1
278	278	35945	36177	278	278	1
279	279	36178	36231	279	279	1
280	280	36232	36431	280	280	1
281	281	36432	36471	281	281	1
282	282	36472	36554	282	282	1
283	283	36555	36598	283	283	1
284	284	36599	36632	284	284	1
285	285	36633	36820	285	285	1
286	286	36821	36978	286	286	1
287	287	36979	37183	287	287	1
288	288	37184	37236	288	288	1
289	289	37237	37259	289	289	1
290	290	37260	37545	290	290	1
291	291	37546	37749	291	291	1
292	292	37750	37774	292	292	1
293	293	37775	37880	293	293	1
294	294	37881	37944	294	294	1
295	295	37945	38042	295	295	1
296	296	38043	38075	296	296	1
297	297	38076	38260	297	297	1
298	298	38261	38373	298	298	1
299	299	38374	38433	299	299	1
300	300	38434	38488	300	300	1
301	301	38489	38681	301	301	1
302	302	38682	38715	302	302	1
303	303	38716	38796	303	303	1
304	304	38797	38962	304	304	1
305	305	38963	39021	305	305	1
306	306	39022	39415	306	306	1
307	307	39416	39420	307	307	1
308	308	39421	39579	308	308	1
309	309	39580	39706	309	309	1
310	310	39707	39841	310	310	1
311	311	39842	39967	311	311	1
