43
CH_ID	CH_NDUSID	CH_NDDSID
1	1	22
2	23	84
3	85	221
4	222	247
5	248	278
6	279	296
7	297	351
8	352	389
9	390	421
10	422	425
11	426	442
12	443	620
13	621	630
14	631	671
15	672	680
16	681	685
17	686	744
18	745	763
19	764	809
20	810	831
21	832	862
22	863	918
23	919	1055
24	1056	1138
25	1139	1199
26	1200	1228
27	1229	1273
28	1274	1298
29	1299	1309
30	1310	1357
31	1358	1379
32	1380	1423
33	1424	1445
34	1446	1451
35	1452	1487
36	1488	1511
37	1512	1522
38	1523	1527
39	1528	1588
40	1589	1668
41	1669	1701
42	1702	1729
43	1730	1748
