Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
1631,,,163,0,1.3155,,93.45,,0.08774,127.98,0.408,,,,,0.03598,170.35,,,,0.05784,50.00,0.11357,50.00,,,,,,,,,1
1632,,,163,1,0.1147,,88.12,,0.04243,57.88,0.173,,,,,0.02679,29.86,,,,0.02701,50.00,0.01899,50.00,,,,,,,,,1
1633,,,163,1,0.3063,,89.70,,0.05662,124.15,0.248,,,,,0.02991,117.03,,,,0.09315,50.00,0.09484,50.00,,,,,,,,,1
1641,,,164,0,1.2432,,98.73,,0.09607,121.88,0.445,,,,,0.05290,112.91,,,,0.02843,50.00,0.09111,50.00,,,,,,,,,1
1642,,,164,1,0.8395,,90.17,,0.06873,121.81,0.306,,,,,0.04183,130.92,,,,0.08935,50.00,0.07511,50.00,,,,,,,,,1
1643,,,164,1,0.9061,,90.98,,0.07649,145.86,0.350,,,,,0.03779,134.06,,,,0.07277,50.00,0.08589,50.00,,,,,,,,,1
1651,,,165,0,1.4156,,88.04,,0.02204,172.46,0.110,,,,,0.00658,174.89,,,,0.05838,50.00,0.05361,50.00,,,,,,,,,1
1652,,,165,1,0.2632,,86.90,,0.01696,145.93,0.084,,,,,0.00001,0.00,,,,0.01000,50.00,0.01040,20.07,,,,,,,,,1
1653,,,165,1,0.7137,,87.20,,0.02367,210.07,0.106,,,,,0.00755,145.65,,,,0.01000,50.00,0.00600,50.00,,,,,,,,,1
1662,,,166,1,0.1679,,85.36,,0.21957,152.30,0.824,,,,,0.00001,0.00,,,,0.06999,50.00,0.00002,2.23,,,,,,,,,1
1663,,,166,1,1.2530,,88.60,,0.07847,273.28,0.329,,,,,0.03003,154.58,,,,0.08000,50.00,0.08515,50.00,,,,,,,,,1
1672,,,167,1,0.1722,,85.13,,0.27181,127.10,0.991,,,,,0.00001,0.00,,,,0.13763,29.06,0.00001,0.00,,,,,,,,,1
