Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left
53,3955,1850,3945,2068,52,4.19,77.85,240.54,3583.65,3343.12,0.00208,531,532,533,
54,3942,2064,3944,2068,52,6.92,77.80,6.24,3349.35,3343.11,0.00001,0,542,543,
55,3812,1962,3942,2063,54,5.44,78.00,288.29,3637.65,3349.36,0.00312,551,552,553,
56,3912,2051,3941,2064,54,1.45,77.80,39.53,3388.88,3349.35,0.00002,561,562,563,
57,3979,2120,3991,2100,51,1789.88,74.70,27.80,3303.13,3275.34,0.01799,0,572,573,
58,3685,2024,3978,2120,57,3.26,78.48,370.13,3673.28,3303.15,0.01540,581,582,583,
59,3976,2124,3979,2121,57,1786.53,74.90,5.24,3308.38,3303.13,0.00002,0,592,593,
60,3929,2247,3975,2125,59,1772.12,74.90,143.88,3452.27,3308.38,0.00002,0,602,603,
61,3921,2254,3928,2248,60,1769.65,74.90,11.49,3463.75,3452.27,0.00002,0,612,613,
62,3882,2221,3920,2255,61,20.32,76.65,60.43,3524.18,3463.75,0.03637,0,622,623,
63,3876,2200,3881,2220,62,8.46,77.18,23.49,3547.67,3524.18,0.00426,0,632,633,
64,3859,2151,3877,2199,63,2.55,77.53,66.77,3614.44,3547.67,0.00749,641,642,643,
65,3822,2169,3875,2199,63,5.85,77.61,69.43,3617.09,3547.67,0.00865,0,652,653,
66,3617,2117,3821,2168,65,2.58,79.63,256.18,3873.28,3617.10,0.02420,661,662,663,
67,3697,2217,3821,2170,65,3.03,78.39,158.10,3775.19,3617.10,0.01202,671,672,673,
68,3813,2347,3881,2221,62,11.01,77.64,177.75,3701.94,3524.19,0.00506,0,682,683,
69,3670,2340,3812,2348,68,2.37,78.49,165.54,3867.48,3701.94,0.01148,691,692,693,
70,3815,2388,3813,2348,68,6.86,78.07,52.94,3754.88,3701.94,0.00378,0,702,703,
71,3793,2391,3814,2388,70,5.25,78.23,27.73,3782.61,3754.88,0.00361,0,712,713,
72,3643,2440,3792,2391,71,2.40,78.99,185.55,3968.17,3782.62,0.00970,721,722,723,
73,3514,2441,3792,2392,71,2.81,81.05,369.48,4152.09,3782.62,0.02328,731,732,733,
74,3779,2430,3814,2389,70,1.53,78.34,61.60,3816.48,3754.88,0.00487,741,742,743,
75,3878,2396,3921,2255,61,1749.31,75.01,163.12,3626.88,3463.76,0.00183,0,752,753,
76,3828,2527,3877,2397,75,1609.10,75.46,157.61,3784.50,3626.88,0.00317,0,762,763,
77,3777,2547,3827,2527,76,10.52,76.73,60.94,3845.44,3784.50,0.02626,0,772,773,
78,3428,2513,3776,2546,77,5.09,82.62,423.19,4268.63,3845.44,0.02907,781,782,783,
79,3707,2698,3776,2547,77,5.37,78.82,211.94,4057.38,3845.45,0.00803,791,792,793,
80,3776,2770,3827,2528,76,1597.98,75.80,267.85,4052.36,3784.50,0.00112,0,802,803,
81,3715,2853,3775,2771,80,1564.78,76.06,113.78,4166.14,4052.36,0.00088,0,812,813,
82,3675,2860,3715,2854,81,21.34,77.36,46.31,4212.45,4166.14,0.06044,0,822,823,
83,3619,2830,3674,2859,82,9.46,79.28,68.43,4280.87,4212.45,0.01169,0,832,833,
84,3297,2782,3618,2829,83,7.11,84.17,422.52,4703.37,4280.85,0.02485,841,842,843,
